smiles,emission
CC(C)(CC1C=C2C3)C(N=1[Zn](N2C(C=3)=C1)(N2C3C4)N(=C1C1)C=4C=1)=CC2=CC=3,605.0
CC(C)(CC1C=C(C=C2)NC2=CC2C3)C(N=1)=CC(=CC1)NC=1C=C(C=3)N=2,634.0
CC(C)(CC1/C=C(\N2C3=C4)C=C3)/C(N=1)=C/C(=CC1)N([Mg]2N(C2C3)=C4C=3)C=1C=2,610.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N1C45)(N2C2C=3)N(C(C3)=C4C(=CC=C4)C=C4)=C(C=3)C=2)=CC1=CC=5,607.0
CC(C)(CC1C=C(NC2=CC34)C=C2)C(N=1)=CC(NC1C(C(C=CC2)=CC=2)=C(N=3)C=C4)=CC=1,637.0
CC(=CC=C1/C(C(=CC2)N(C=2C=C2C3(C)C)[Zn](N2=C(C2)C3)N(C=2C2)C3C=2)=C(/N=C2C=3)C=C2)C=C1,608.0
CC(=CC=C1C(C(NC2C=C(N=C3C4)C(C3)(C)C)=CC=2)=C(C=C2)N=C2C=C(NC2=4)C=C2)C=C1,639.0
CC(C)(CC1C=C2C3)C(N=1[Zn](N1C45)(N2C2C=3)N(=C(C3)C=2C(C=CC2)=CC=2)C(C=3)=C4)=CC1=CC=5,608.0
CC(C)(CC1C=C(C=C2)NC2=C(C23)C(C=CC4)=CC=4)C(N=1)=CC(NC1C=C(N=3)C=C2)=CC=1,637.0
CC(C)(CC1/C=C(/C=C2)N3C2=C2C(=CC=C4)C=C4)/C(N=1)=C/C(=CC1)N([Cu]3N(=C2C2)C3C=2)C=1C=3,
CC(C)(CC1C=C2C3)C(=CC(=CC4)N5C=4C4)N=1[Pd]5(N2C(C=3)=C1C(C=CC2)=CC=2)N(=C1C1)C=4C=1,
CC(C)(CC1/C=C(/C=C2)N3C2=C2C(C=CC4C)=CC=4)/C(N=1)=C/C(=CC1)N(C=1C=C1C4)[Zn]3N1=C2C=4,608.0
CC(C)(CC1C=C(C=C2)NC2=C(C2C3)C(C=CC4C)=CC=4)C(N=1)=CC(=CC1)NC=1C=C(N=2)C=3,639.0
CC(=CC(=C1)C)C(=C1C)C(=C(C=C1)N(C1=C1)[Zn]2(N(C3=C4)C(C5)=C4)N(=C1C1)C=5C1(C)C)C(=N2C1=C3)C=C1,609.0
CC(=CC1C)C(=C(C=1)C)C(=C(NC1=CC(=NC2=C3)CC2(C)C)C=C1)C(C=C1)=NC1=CC(=CC1)NC3=1,639.0
CCCCCC(C(C=C1)=N(C1=CC1=C2)[Zn]3(N1C(=C2)C1)N(=C2C4)C=1C4(C)C)=C(C=C1)N3C1=C2,607.0
CCCCCC(C(C=C1)=NC1=CC(NC1C2)=CC=1)=C(NC1=CC(=NC3=2)CC3(C)C)C=C1,637.0
CC(C)(CC1C(=C2C=C3)C(=CC=C4)C=C4)C(N=1[Zn](N1C45)(N2C32)N(C(=C5)C3)=C(C=3)C=2)=CC1=CC=4,609.0
CC(C)(CC1C(C(=CC=C2)C=C2)=C(NC2=CC3C4)C=C2)C(N=1)=CC(=CC1)NC=1C=C(N=3)C=4,640.0
CC(C)(CC1/C=C(\N2/C3=C\C45)C=C3)/C(N=1)=C(/C(=CC1)N([Zn]2)C=1/C=C(\N=4)C=C5)C(=CC=C1)C=C1,610.0
CC(C)(CC1C=C(NC2=CC34)C=C2)C(N=1)=C(C(C=CC1)=CC=1)C(NC1C=C(N=3)C=C4)=CC=1,639.0
CC(C=CC1C(C(=CC2)N(C=2C2)[Zn]3(N(C4C5)C(=C6)C=5)N(=C6C5)C=2C5(C)C)=C(C=C2)N3=C2C=4C(C(C)=CC2C)=C(C=2)C)=CC=1,611.0
CC(C=CC1C(=C(C=C2)N=C2C(C(=C(C)C=C2C)C(C)=C2)=C(C=C2)NC2=C2)C(=CC3)NC=3C=C(N=C22)C(C2)(C)C)=CC=1,642.0
CC(=CC1C)C(=C(C=1)C)C(=C(C=C1)N(C1=C1)[Cu]2(N(=C1C1)C(=C3)C1(C)C)N(C3=C1)C3=C1)C(=N2C1=C3C(C=CC2C)=CC=2)C=C1,
